aX,aY,aZ,gX,gY,gZ
-0.25,0.05,-0.06,-0.63,-32.15,-28.17
-0.18,0.03,-0.03,1.92,-27.02,-35.94
-0.22,-0.03,0.14,-0.93,22.08,-62.84
-0.89,-0.19,0.15,59.79,61.75,-111.31
-2,0.16,-1.46,134.4,90.76,-217.62
0.08,2,0.41,126.78,-94.44,-250.14
0.37,1.99,-0.58,113.01,-80.31,-138.21
-1.63,2,-1.37,134.31,-46.27,-99.62
-2,2,-1.03,186.02,-84.4,-246.28
0.42,2,0.23,128.31,-111.85,-197.15
1.37,1.78,0.38,19.24,-85.34,-105.52
0.16,1.15,-0.13,-30.44,-47.19,13.68
-1.71,2,-0.58,-9.73,-35.47,8.6
-0.84,2,-0.53,-6.69,-3.26,-25.26
0.06,1.34,-0.51,-14.45,13.63,4.1
-0.01,1.12,-0.39,-25.96,22.15,62.79
-0.73,1.45,-0.4,-42.24,56.8,109.38
-0.97,2,-0.32,-95.79,-7.22,141.02
-0.12,2,-0.57,-138.63,58.18,173.38
-0.52,2,-0.59,-161.77,138.33,178.14
-0.93,2,-0.88,-150.94,72.62,180.5
0.04,2,-0.86,-117.05,-37.76,160.39
0.76,1.58,-0.74,-79.66,-109.69,241.08
0.06,0.31,0.33,-85.24,45.94,250.13
-2,-0.96,0.29,23.69,162.17,94.1
-0.79,-0.86,-0.48,82.64,48.25,-27.34
0.63,0.26,-0.12,0.5,95.58,-78.25
-0.7,0.3,-0.07,-22.32,-0.24,-65.16
-0.9,-0.11,-0.2,-4.87,-167.89,9.76
0.23,-0.1,-0.16,-6.15,-222.44,26.92
0.75,0.02,0,-3.02,-167.85,18.31
0.72,0.11,0.04,-7.05,-44.02,-3.27
0.32,0.13,0.03,-18.03,80.69,-21.37
-0.24,-0.09,0.13,-15.19,96.78,-37.95
-0.48,-0.16,0.1,2.33,30.53,-44.23
-0.27,-0.01,-0.09,9.08,-8.76,-39.17
0.1,0.11,-0.11,5.66,-0.68,-37.51
0.05,0.11,-0.02,1.54,3.15,-37.37
-0.12,0.01,-0.04,4.45,6.15,-40.95
-0.32,-0.01,-0.06,13.16,-17.91,-44.44
-0.36,-0.02,-0.1,27.03,-54.26,-52.28
