aX,aY,aZ,gX,gY,gZ
-2,-0.31,-0.79,-7.28,24.2,75.87
-1.58,0.08,-0.73,-48.15,-250.14,-19
-0.13,0.08,1,-34.43,-101.22,-37.92
-2,-0.42,-0.51,-26.71,-91.69,-90.86
-0.43,0.13,-0.3,-81.4,-103.36,-161.16
0.14,0.39,0.05,-48.02,7.9,-244.69
-0.48,0.56,-0.43,15.12,58.55,-250.14
-1.2,2,-0.52,38.3,-33.47,-250.14
-1.8,2,-0.56,64.28,-137.98,-250.14
0.4,2,-0.88,51.16,-132.5,-250.14
0.11,2,-0.54,39.11,-42.94,-250.14
-0.15,2,-0.22,63.31,-115.68,-250.14
0.6,1.39,-0.22,43.8,-196.85,-186.71
1.74,0.69,-0.54,1.05,-230.37,-76.16
2,-0.61,-0.29,-15.74,-112.1,-22.91
2,-0.22,-0.39,-37.24,250.13,79.15
2,-0.29,-0.3,-28.91,250.13,50.73
-1.15,0.38,-0.12,4.6,216.69,135.22
-2,0.34,-0.5,79.27,128.74,101.65
-2,0.78,-1.54,87.84,-54.04,32.15
-1.21,1.63,-0.57,-226.71,39.89,13.26
2,0.48,-2,145.19,0.9,-89.35
2,1.74,-2,-6.42,92.6,229.97
-0.62,2,1.62,-23.24,44.69,250.13
1.25,2,-0.91,-35.97,97.81,250.13
-0.29,2,-0.72,-79.23,133.53,250.13
-1.72,2,-0.98,-84.52,21.72,250.13
-1.06,2,-0.58,-62.29,-50.18,250.13
-0.09,1.34,0.17,-46.08,55.7,250.13
-2,0.83,0.51,-32.79,157.55,187.93
-2,-0.03,-0.28,-28.85,49.37,69.15
-0.72,0.32,-0.14,-72.42,9.28,4.14
-0.82,0.05,0.55,-75.88,131.78,-30.64
-2,-0.61,-0.53,-28.48,-28.32,-71.16
-1.29,-0.25,-0.56,-40.27,-187.6,-89.97
-0.26,-0.11,-0.24,-33.19,-170.63,-171.07
-0.46,0.23,-0.51,-19.73,-104.13,-219.21
-0.53,1.17,-1.78,25.62,-72.76,-250.14
-1.51,2,0.17,37.34,-68.32,-250.14
-1.2,2,-0.52,15.95,17.72,-250.14
0.2,2,-0.6,53.82,3.39,-250.14
-0.67,2,-0.09,88.23,-118.42,-250.14
0.47,2,-0.29,95.45,-219.06,-250.14
1.48,1.54,-0.46,43.05,-176.46,-156.11
2,0.26,-0.59,-55.92,-165.24,-12.69
2,-1.52,0.12,-42.66,3.41,126.5
2,-0.61,0.1,-81.09,250.13,46.69
0.74,0.1,-0.78,9.72,250.13,66.5
-1.32,0.74,-0.06,10.83,213.29,147.85
-2,0.89,-0.41,17.92,91.57,75.81
-2,0.7,-2,140.36,-28.06,-33.05
-1.55,1.33,-1.05,-250.14,-44.35,-28.82
2,-1.1,2,107.2,-250.14,53.5
2,2,-2,-242.02,250.13,48.56
1.57,2,1.56,-78.44,178.58,250.13
-1.23,2,-0.46,-9.83,-18.56,250.13
1.46,2,-0.45,-39.21,65.85,250.13
-1.4,2,-0.12,-95.18,109.64,250.13
-0.92,2,-0.35,-90.46,196.35,250.13
-1.88,0.86,-0.48,-77.86,250.13,246.85
-2,0.06,-0.49,-46.4,101.28,105.12
-1.97,0.3,-0.85,-72.85,12.81,39.2
-0.74,0.02,0.55,-83.98,-11.1,24.08
-1.18,-0.13,0.12,-47.27,-44.23,-7.86
-1.56,-0.37,-0.24,-20.91,-127.02,-16.15
-0.56,-0.23,-0.4,-39.56,-156.74,-49.96
-0.59,-0.37,-0.15,-38.82,-117.74,-129.18
-0.59,0.23,-0.4,-30.44,-70.32,-179.47
-1.1,0.95,-2,16.09,-62.54,-246.9
-1.62,2,-0.28,45.93,-103.54,-250.14
-0.97,2,-0.79,33.18,-57.31,-250.14
0.34,2,-0.42,69.47,2.76,-250.14
0.1,2,-0.34,75.49,-130.54,-250.14
0.76,2,-0.55,81.09,-179.64,-250.14
1.75,1.44,-0.66,-3.47,-110.21,-169.52
2,-0.56,-0.41,-7.79,-142.49,1.19
2,-1.11,0.02,-43.5,102.56,79.51
2,-0.56,-0.69,41.81,250.13,-28.17
-0.1,0.4,-0.66,21.41,225.09,109.71
-1.44,0.8,0.56,-26.78,82.22,139.55
-2,0.45,0.61,5.1,-143.54,81.6
-1.88,0.59,-1.74,182.21,-109.06,-5.6
-0.49,1.42,-1.89,-219.76,211.18,-79.5
2,0.79,2,-51.58,-164.63,-40.61
2,2,2,-144.6,250.13,-40.63
2,2,-0.25,-5.31,68.53,250.13
-0.55,2,0.68,33.61,-32.66,250.13
0.23,2,-0.24,-65.74,169.62,250.13
-1.42,2,-0.43,-107.16,198.02,250.13
-1.35,1.71,-0.8,-99.69,215.4,250.13
-2,0.24,-0.59,-45.58,157.52,230.82
-2,0.22,-0.35,-14.57,69.85,132.46
-1.64,0.55,-0.18,-88.79,47.41,43.11
-0.43,-0.01,0.27,-69.3,46.96,22.98
-0.93,-0.12,0.26,-41.77,45.64,4.85
-2,-0.15,-0.32,-17.53,-106.63,0.15
-0.78,-0.17,-0.06,-40.5,-128.26,-19
-0.31,-0.75,-0.22,-41.65,-69.08,-112.44
-0.85,-0.25,-0.32,-22.94,-25.94,-201.4
-1.1,0.43,-1.16,11.78,-69.1,-250.14
-1.4,2,-1.85,64.6,-139.8,-250.14
-2,2,-0.31,44.6,-101.4,-250.14
-0.62,2,-1.04,80.92,-54.99,-250.14
-0.29,2,-0.51,30.13,-66.23,-250.14
0.36,2,0.3,80.72,-171.44,-250.14
1.41,1.51,-0.35,56.41,-169.12,-210.02
2,0.49,-0.99,-1.14,-134.4,-37.12
2,-1.19,-0.06,-8.84,-44.64,40.66
2,-0.07,0.07,-53.34,204.03,5.18
1,0.18,-0.63,16,224.78,65.69
-0.81,0.24,-0.35,7.72,125.93,160.71
-1.44,0.35,0.61,-9.23,-6.73,157.16
-2,0.5,0.2,63.4,-123.79,117.49
-1.66,1.06,-1.27,157.12,58.55,-74.62
-0.02,-0.12,1.78,-213.77,250.13,-109.31
-2,-0.94,-2,250.13,-21.95,57.81
0.89,2,-2,250.13,44.73,44.08
1.94,1.94,-1.7,-25.63,111.1,250.13
-0.28,2,-0.61,-9.97,62.75,250.13
-1.06,2,-0.25,-95.52,147.7,250.13
-1.75,2,-0.38,-118.61,184.22,250.13
-1.67,0.74,-0.41,-113.31,230.75,250.13
-2,-0.12,-0.67,-48.53,151.12,165.21
-2,0.01,-0.11,-64.51,33.79,74.03
-1.36,0.13,-0.46,-64.35,-54.63,22.04
-0.04,0.1,0.42,-57.16,-27.5,-2.54
-2,-0.32,-0.24,-20.5,-86.12,-22.34
-1.27,-0.36,-0.53,-25.78,-158.08,-45.6
-0.39,-0.41,-0.01,-32.8,-126.1,-142.55
-0.46,0.14,-0.04,-30.69,-84.37,-206.34
-0.25,0.79,0,-8.58,-1.41,-250.14
-0.7,2,-0.15,-6.26,-20.6,-250.14
-2,2,-0.49,-17.3,-20.66,-250.14
-0.68,2,-0.74,58.71,-17.5,-250.14
-0.61,2,-0.28,45.61,-67.89,-250.14
-0.13,1.93,0.05,116.8,-185.18,-250.14
0.78,1.67,-0.39,59.31,-148.69,-140.2
2,0.62,-0.61,-4.83,-152.51,-71.23
2,-0.87,-0.35,-30.23,-30.41,12.76
2,0.18,-0.83,-6.21,228.36,31.23
2,0.47,-0.17,-23.91,250.13,56.49
-0.22,0.4,-0.37,-5.13,248.68,103
-1.95,0.26,-0.14,1.6,77.26,120.22
-2,-0.01,-0.67,113.6,-46.34,67.87
-2,1.8,-2,-161.21,-15.59,-108.87
2,-1.87,2,236.76,-230.33,75.69
2,0.31,-2,63.03,142.1,140.72
2,2,-2,-59.45,67.89,126.83
-1.48,1.74,0.3,-61.83,109.13,250.13
0.1,2,-0.53,-19.35,9.92,250.13
-0.9,2,-0.01,-102.56,84.08,250.13
-0.99,2,-0.29,-129.64,148.05,250.13
-1.17,1.17,-0.43,-135.44,228.44,250.13
-2,0.38,-0.49,-69.73,145.15,209.97
-2,0.24,-0.34,-68.89,70.88,119.27
-1.59,-0.05,-0.55,-73.5,-12.18,59.44
-1.05,-0.25,0.22,-68.89,13.95,18.73
-2,-0.94,-0.11,-10.28,-161.92,-19.76
-0.92,-0.13,-0.62,-25.57,-231.11,-75.51
0.03,0.05,0.1,-41.83,-139.47,-148.7
-0.14,0.03,-0.14,-45.94,-57.93,-179.53
-0.6,0.03,-0.46,20.88,-5.82,-240.24
-1.23,2,-0.01,38.47,-97.13,-250.14
-2,2,-0.93,73.19,-112.59,-250.14
-0.32,2,-0.54,71.73,-27.75,-250.14
-1.28,2,-0.4,81.83,-123.83,-250.14
-0.03,2,-0.26,134.05,-233.9,-250.14
1.13,2,-0.7,74.7,-174.75,-189.82
2,1.01,-0.82,-40.76,-61.97,-90.2
2,-0.83,0.15,-16.24,-4.18,14.89
2,-0.02,-0.32,-78.15,250.13,41.71
1.12,0.12,-0.53,-7.98,250.13,90
-1.41,0.48,0.12,-9.46,151.44,172.69
-2,0.77,0.44,-3.35,9.88,135.82
-2,1.11,-2,169.06,-57.78,-20.24
-0.05,-0.07,2,-250.14,250.13,-160.86
-2,-1.33,-2,250.13,35.78,64.64
1.28,2,-2,184.15,-19.34,77.02
0.24,2,0.71,-23.63,60.85,250.13
0.39,2,-0.92,-11.56,29.19,250.13
-1.48,2,-0.12,-120.1,121.56,250.13
-1.65,2,-0.13,-118.82,89,250.13
-0.84,1.31,-0.4,-124.24,152.16,250.13
-2,0.29,-0.35,-49.84,81.85,244.34
-2,0.1,-0.07,-32.65,-14.26,124.2
-1.21,0.2,-0.2,-60.72,-22.2,51.65
0.01,0.03,0.48,-82.3,64.5,10.1
-1.46,-0.25,0.19,-57.56,20.06,-16.4
-1.49,-0.21,-0.36,-41.28,-65.58,-48.94
-0.95,-0.3,-0.41,-41.26,-100.89,-85.47
-1.03,-0.56,-0.39,-24.35,-136.67,-131.93
-0.78,0.02,-0.45,-15.08,-105.69,-206.15
-0.77,1.01,-2,31.82,-89.99,-250.14
-1.95,2,0.92,51.88,-44.1,-250.14
-1.69,2,-0.35,35.43,4.92,-250.14
0.06,2,-0.21,33.08,38.2,-250.14
0.07,2,0.31,64.63,-72.83,-250.14
0.52,2,0.04,73.42,-127.66,-199.61
1.46,1.15,-0.5,5.09,-95.29,-98.68
2,-0.02,-0.39,-20.22,-46.61,-61.32
2,-0.04,-0.1,23.56,178.57,57.34
2,-0.12,-0.25,-18.66,229.22,-11.22
0.54,-0.03,-0.94,23.05,162.21,107.21
-1.22,0.48,-0.22,-28.13,139.41,130.16
-2,0.43,0.22,50.81,-32.15,98.4
-2,1.51,-2,-26.97,-13.08,-49.24
2,0.53,2,-25.89,-221.73,-45.44
2,-0.04,2,-37.11,185.37,-78.4
2,1.88,0.06,-5.91,66.41,250.13
-0.91,2,0.25,-18.37,18.73,250.13
-0.38,2,-0.37,-61.47,73.27,250.13
-1.69,2,-0.05,-117.21,99.83,250.13
-1.14,2,-0.51,-141.76,129.85,250.13
-1.92,0.4,-0.43,-81.45,87.66,250.13
-1.81,0.44,-0.13,-42.75,144.08,175.34
-2,-0.11,-0.34,-79.36,131.71,83.11
-1.21,-0.14,-0.13,-76.51,-7.4,12.75
-2,-0.36,0.08,-36.19,-64.98,-22.56
-2,-0.75,-0.48,15.48,-235.71,-52.97
-0.44,-0.07,-0.29,-10.45,-203.13,-127.17
-0.05,-0.06,0.03,-17.91,-113.78,-198.42
-0.29,0.29,-0.09,-28.98,3.32,-250.14
-0.58,0.53,-0.6,50.7,47.86,-250.14
-2,2,0.77,67.35,-22.15,-250.14
-2,2,-0.7,76.81,-6.27,-250.14
-0.29,2,-1.17,108.24,-129.31,-250.14
-0.47,2,-0.07,86.79,-172.87,-250.14
0.45,1.81,-0.11,104.47,-238.4,-232.27
2,1.19,-0.73,8.05,-121.94,-104.4
2,-0.26,-0.3,-31.76,-81.75,-29.74
2,-0.39,-0.26,45.85,61.78,74.6
2,0.17,0.15,-102.16,250.13,25.4
0.38,0.2,-0.42,29.91,200.2,137.93
-1.23,0.29,-0.39,-4.23,144.89,178.82
-2,0.73,0.18,15.37,-33.53,128.08
-1.97,1.41,-2,72.6,2.78,4.11
-0.73,0.21,0.26,-235.91,169.53,-94.53
2,0.03,2,-111.77,109.27,-40.99
0.86,2,2,215.13,228.82,-197.92
2,-0.08,0.23,-41.78,111.47,250.13
-1.11,2,-0.41,33.18,-17.94,250.13
-1.07,2,-0.29,-128.18,157.54,250.13
-1.6,2,-0.01,-162.06,171.41,250.13
-2,0.92,-0.45,-145.56,220.2,250.13
-2,-0.22,-0.74,-71.58,154.11,201.17
-2,0.2,-0.36,-76.86,71.36,96.38
-1.57,-0.02,-0.26,-88.71,29.37,26.01
-0.96,-0.16,0.15,-70.02,16.2,2.12
-2,-0.78,-0.29,6.04,-160.97,-20.31
-1.39,-0.54,-0.83,16.42,-250.14,-65.29
0.11,-0.13,0.04,-12.27,-193.46,-158.06
-0.03,0.16,-0.17,-33.69,-75.5,-209.94
-0.67,0.35,-0.69,14.34,17.17,-250.14
-1.57,2,-0.08,40.44,-43.99,-250.14
-2,2,-0.96,48.02,-54.69,-250.14
-0.76,2,-0.72,86.72,-33.69,-250.14
