aX,aY,aZ,gX,gY,gZ
0.09,0.98,-0.09,-2.57,1.38,0.18
0.12,0.99,-0.09,-3.35,0.98,-0.06
0.09,0.98,-0.1,-3.29,1.63,0.02
0.11,0.99,-0.09,-3.27,1.69,0.18
0.12,0.99,-0.09,-3.04,1.91,0.27
0.09,0.98,-0.1,-2.72,2.11,0.04
0.12,1,-0.09,-2.6,1.57,0.68
0.1,0.98,-0.1,-3.05,1.52,0.5
0.1,1,-0.1,-3.51,2.17,0.09
0.12,0.98,-0.08,-2.67,2.12,-0.1
0.09,0.99,-0.09,-3.48,1.35,0.03
0.12,0.99,-0.08,-3.21,1.69,0.04
0.11,0.98,-0.1,-3.23,1.43,0.19
0.1,1,-0.09,-3.39,1.45,0.19
0.12,0.99,-0.08,-2.54,1.28,-0.08
0.09,0.98,-0.08,-3.24,1.22,0.06
0.12,1,-0.08,-2.95,1.31,-0.5
0.11,0.98,-0.09,-3.37,1.33,-0.52
0.1,0.99,-0.1,-2.96,1.5,-0.94
0.13,0.99,-0.09,-2.99,2.29,-0.73
0.1,0.99,-0.08,-3.56,2.29,-0.54
0.09,0.98,-0.09,-3.15,0.56,-0.46
0.12,0.99,-0.1,-3.13,-0.37,-0.51
0.1,0.99,-0.09,-3.24,0.28,-0.73
0.11,0.99,-0.1,-3.37,1.36,-1.25
0.12,0.99,-0.1,-3.41,1.58,-1.39
0.09,0.99,-0.09,-3.3,1.79,-1.46
0.12,0.99,-0.08,-3.25,1.26,-1.29
0.11,0.98,-0.09,-3.04,1.04,-1.27
0.1,0.98,-0.1,-3.66,1.08,-1.26
0.12,0.99,-0.1,-3.43,1.27,-1.2
0.09,0.98,-0.09,-3.15,2.25,-1.05
0.12,0.99,-0.09,-3.5,2.33,-0.9
0.1,0.99,-0.08,-3.25,2.57,-0.92
0.09,0.99,-0.09,-3.16,2.32,-0.98
0.12,1,-0.1,-3.55,2.02,-1.21
0.09,0.98,-0.09,-3.73,2.4,-0.85
0.1,0.99,-0.08,-3.31,1.82,-0.86
0.1,0.99,-0.08,-3.23,0.99,-0.67
0.08,0.98,-0.1,-2.99,0.88,-0.53
0.12,1,-0.1,-3.47,0.34,-0.73
0.1,0.99,-0.1,-3.34,0.7,-0.69
0.12,1,-0.08,-3.59,1,-0.27
0.11,1,-0.09,-3.28,1.73,-0.31
0.09,0.99,-0.08,-3.18,1.74,-0.26
0.12,0.99,-0.09,-2.9,1.27,-0.33
0.11,0.99,-0.09,-3.23,1.86,-0.38
0.1,0.98,-0.08,-3.75,1.13,-0.61
0.11,0.99,-0.1,-3.15,1.8,-0.4
0.1,0.98,-0.09,-2.82,1.37,-0.19
0.08,0.99,-0.09,-3,0.72,-0.56
0.11,0.99,-0.09,-3.02,0.2,-0.42
0.09,0.98,-0.1,-3.24,0.17,-0.2
0.11,1,-0.08,-3.18,0.43,-0.22
0.11,0.99,-0.09,-3.13,0.21,-0.31
0.1,0.99,-0.09,-3.36,0.64,-0.75
0.12,1,-0.1,-3.5,1.03,-0.49
0.1,0.98,-0.09,-3.53,1.05,-0.7
0.12,0.99,-0.09,-3.38,1.62,-0.45
0.1,0.99,-0.08,-3.43,1.95,-0.56
0.09,0.98,-0.09,-2.89,1.31,-0.38
0.12,1,-0.09,-3.07,1.52,-0.67
0.1,0.98,-0.1,-2.99,2.33,-0.62
0.1,0.99,-0.09,-3.05,2.06,-0.3
0.11,1,-0.1,-2.82,2.15,-0.44
0.09,0.98,-0.1,-2.98,2.33,-0.61
0.11,0.99,-0.09,-2.79,2.14,-0.61
0.1,0.99,-0.1,-2.66,1.64,-0.9
0.1,0.99,-0.08,-3.4,2.04,-1.14
0.13,0.99,-0.08,-3.69,3.11,-1.52
0.09,0.98,-0.09,-3.6,3.48,-1.37
0.11,0.99,-0.09,-3.6,2.52,-0.99
0.11,0.99,-0.1,-3.11,1.32,-0.82
0.1,0.98,-0.08,-3.39,2.52,-0.72
0.12,0.99,-0.08,-3.87,2.72,-0.91
0.08,0.98,-0.1,-3.44,2.68,-0.92
0.1,0.99,-0.08,-3.54,2.38,-1.15
0.11,0.99,-0.09,-3.69,1.61,-0.82
0.1,0.99,-0.09,-3.48,1.69,-0.94
0.11,0.99,-0.09,-3.92,1.75,-1.18
0.12,0.99,-0.09,-3.63,2.56,-1.23
0.09,0.98,-0.09,-3.46,1.92,-1.17
0.11,0.99,-0.09,-3.12,2.4,-0.98
0.1,0.99,-0.09,-3.44,2.55,-0.83
0.08,0.99,-0.09,-3.65,0.74,-0.39
0.11,0.99,-0.1,-3.33,0.04,-0.15
0.09,0.99,-0.08,-3.5,-0.5,-0.54
0.11,1,-0.09,-3.56,-0.15,-0.63
0.11,0.98,-0.09,-3.52,0.21,-0.66
0.09,0.99,-0.08,-3.6,-0.02,-0.81
0.12,0.99,-0.09,-3.59,0.32,-1.03
0.1,0.99,-0.09,-3.45,-0.23,-0.82
0.1,0.99,-0.08,-3.38,-0.34,-0.99
0.11,1,-0.1,-3.92,-0.54,-1.36
0.09,0.98,-0.09,-3.21,-0.02,-1.18
0.11,0.99,-0.08,-3.15,-0.39,-1.06
0.1,0.99,-0.08,-3.29,-0.54,-0.86
0.1,0.99,-0.09,-3.27,-0.4,-1.15
0.12,0.99,-0.09,-3.47,-0.02,-1.15
0.09,0.98,-0.1,-2.78,-0.14,-1.38
0.11,1,-0.09,-3.23,-0.66,-1.48
0.1,0.98,-0.09,-3.07,-0.38,-1.27
0.08,0.99,-0.09,-3.11,-0.54,-1.48
0.12,1,-0.08,-2.99,-0.05,-2.02
0.09,0.99,-0.1,-3.4,0.34,-1.79
0.1,0.99,-0.09,-3.12,1.11,-1.6
0.11,1,-0.09,-3.27,0.82,-1.53
0.09,0.99,-0.08,-3.66,1.58,-1.55
0.09,0.99,-0.08,-3.3,1.61,-1.45
0.11,0.99,-0.09,-3.45,1.78,-1.54
0.08,0.98,-0.09,-3.24,2.07,-1.44
0.09,0.99,-0.1,-3.44,2.29,-1.75
0.09,0.99,-0.09,-3.81,2.04,-1.43
0.08,0.99,-0.1,-3.06,1.82,-1.79
0.11,1,-0.09,-3.34,1.66,-1.46
0.07,0.98,-0.09,-3.82,1.27,-1.49
0.09,1,-0.09,-3.2,1.21,-1.31
0.1,1,-0.08,-3.61,1.3,-1.21
0.09,0.98,-0.09,-3.63,1.71,-1.28
0.11,1,-0.09,-4.02,2.86,-1.24
0.08,0.98,-0.09,-3.12,3.04,-0.67
