aX,aY,aZ,gX,gY,gZ
0.24,0.69,-0.1,18.34,87.52,15.53
0.11,0.66,-0.2,35.37,119.81,39.7
-0.3,0.74,-0.39,56.82,108,64.47
-0.8,1.01,-0.41,45.53,57.79,71.27
-1.12,1.43,-0.52,33.85,-19.08,51.73
-1.28,1.19,-0.58,-5.66,-116.34,29.5
-1.01,1.16,-0.63,-30.16,-139.6,24.3
-0.47,1.09,-0.3,-56.18,-124.27,17.89
0.29,1.65,-0.29,-47.8,-118.83,52.13
0.29,0.86,0.5,-14.45,-40.37,41.63
0.37,0.99,-0.12,-3.27,6.66,43.84
0.76,0.88,-0.19,-24.11,29.15,60.17
0.33,0.98,-0.14,-23.6,30.3,79.23
-0.26,0.95,-0.26,-22.73,-11.29,71.33
-0.05,0.87,-0.32,-21.34,-58.85,63.52
0.37,0.92,-0.2,-20.5,-48.16,60.4
0.21,0.9,-0.19,-16.15,-9.31,55.85
0.15,0.96,-0.2,-14.36,19.79,52.91
0.15,0.97,-0.17,-17.02,36.84,48.33
0.04,0.93,-0.19,-18.47,40,50.67
0.05,0.92,-0.2,-14.46,33.66,49.08
-0.04,0.94,-0.24,-11.35,22.13,45.73
-0.07,0.95,-0.21,-10.76,0.18,43.63
0.03,0.95,-0.18,-10.56,-12.44,43.91
0.12,0.93,-0.14,-8.68,-9.17,44.08
0.19,0.97,-0.12,-5.37,4.29,43.43
0.22,0.98,-0.13,-4.18,25.22,40.2
0.11,0.97,-0.16,-3.21,38.81,35.98
0.05,1.02,-0.19,-3.5,43.54,35.65
0.03,1.05,-0.19,-5.44,33.92,37.06
0.13,0.97,-0.35,-0.43,22.03,40.5
0.21,1.12,-0.26,1.65,68.39,34.47
0,1.09,-0.29,-5.04,90.53,32.39
-0.17,1.07,-0.3,-16.44,82.35,25.02
-0.19,1.04,-0.26,-22.02,61.57,17.48
-0.18,1.21,-0.3,-11.9,66.4,7.48
-0.11,1.16,-0.14,-23.16,93.53,-9.92
-0.11,1,-0.02,-25.21,125.6,-44.53
-0.22,1.09,0.1,-37.24,167.84,-92.91
-0.2,0.82,0.05,-32.5,162.31,-122.76
-0.31,0.61,-0.19,-6.47,123.01,-142.67
-0.2,0.96,-0.17,20.72,60.4,-153.04
0.03,1.41,-0.08,40.21,49.77,-150.56
0.17,1.27,-0.16,41.16,46.46,-135.34
0.05,1.13,-0.06,55.02,31,-128.98
0.01,1.25,0.01,61.05,-2.63,-122.08
-0.06,1.11,-0.03,63.26,-42.34,-111.49
-0.07,1.01,-0.07,63.47,-69.02,-96.21
0.02,1.02,-0.05,54.64,-94.22,-79.83
0.18,0.9,-0.01,49.01,-99.24,-65.51
0.33,0.86,0.03,47.81,-69.27,-60.96
0.43,0.91,-0.04,32.14,-26.9,-55.73
0.41,0.81,0,18.69,19.99,-37.73
0.37,0.74,0.02,12.73,55.89,-16.71
0.19,0.74,-0.03,11.78,80.94,-0.28
0.03,0.77,0,10.66,86.63,22.2
-0.15,0.73,-0.06,28.81,80.02,46.82
-0.45,0.85,-0.26,42.15,54.71,57.46
-0.73,1.06,-0.44,36.98,59.72,49.92
-0.84,1.27,-0.93,45.49,39.65,29.94
-1.18,1.28,-0.52,-27.36,-35.43,15.26
-1.3,1.28,-0.24,-37.63,-86.4,10.36
-0.83,1.69,-0.79,-31.99,-137.38,29.54
0.52,0.84,0.25,-53.01,-161.77,33.35
1.28,0.55,0.46,0.44,-48.51,35.35
0.93,0.89,-0.38,-12.12,74.56,63.49
0.11,1.16,-0.16,-26.11,61.27,94.51
-0.21,0.97,-0.15,-23.98,7.78,76.53
-0.2,0.84,-0.3,-18.18,-34.2,62.57
0.22,0.94,-0.26,-17.47,-34.94,56.84
0.24,0.91,-0.22,-14.44,-8.12,51.34
0.24,0.94,-0.24,-11.08,31.66,48.19
0.03,0.96,-0.24,-12.37,46.96,43.83
-0.13,0.94,-0.18,-16.15,26.34,42.82
-0.01,0.91,-0.2,-16.4,5.17,48.01
